alternative 2 1 6 1 
alternatives 5 1 7 3 
although 2 2 3 12 4 4 5 5 6 4 7 7 
alumni 5 2 7 1 
alumnus 5 3 
alums 5 1 
always 3 2 4 2 6 2 7 3 
am 4 1 5 1 
amanda 5 1 
ambiguity 3 3 4 1 6 13 7 17 
ambitious 4 1 6 1 
amble 6 1 7 1 
amd 3 1 5 7 
amdahl 6 2 
ameliorated 3 1 
amember 7 1 
amend 5 10 
amended 3 1 
amendment 3 1 5 1 
america 5 1 
american 2 2 3 4 4 3 5 5 
americans 5 1 
amherst 5 1 
amid 5 3 
amigaos 4 1 
amnon 2 1 3 6 4 2 5 2 6 1 7 8 
among 2 5 3 1 4 3 5 9 7 2 
amongst 2 1 
amortized 6 1 
amos 5 1 
amount 2 2 4 2 6 2 
amounted 5 1 
amounts 2 1 
amp 1 1 2 6 3 40 4 14 5 26 6 1 
ampl 3 1 
ample 5 1 
amsterdam 3 1 4 3 
an 2 17 3 21 4 8 5 2 6 1 7 1 
analogous 2 1 
analysis 2 10 3 2 6 2 7 1 
analyst 2 1 
analytical 2 2 
analyze 2 1 
analyzing 2 1 
anatomy 5 1 
ancestor 4 1 
ancient 2 1 
and 1 1 2 225 3 203 4 172 5 287 6 131 7 148 
andrej 7 1 
andrew 3 1 5 3 
andrews 2 1 
android 4 2 
aneurysms 5 2 
angel 7 1 
angle 3 1 
anglo 4 1 6 1 7 1 
animal 5 2 6 3 7 3 
animals 2 1 
animation 2 2 
animatronics 2 1 4 1 
anita 7 1 
anjuta 3 1 5 1 
ann 5 1 
annals 2 1 
annalyn 5 1 
anne 5 1 
announced 4 1 5 2 
announces 5 1 
annual 4 2 5 1 7 1 
anon 2 1 3 1 4 1 5 1 6 1 7 1 
anonymous 3 1 
another 2 3 3 1 4 4 
anselm 5 1 
ansi 3 1 
answer 2 2 
answering 2 1 
anthem 5 1 
anthony 2 2 
anthropomorphic 5 1 
anti 2 1 5 1 
antioch 5 1 
antiquated 5 2 
antiquity 2 1 
antonakos 7 1 
any 2 4 3 18 4 2 5 5 6 12 7 12 
anyone 2 1 
anything 2 3 
ap 2 2 
apartment 5 1 
api 4 2 
appalachian 5 5 
apparent 3 2 4 4 5 4 6 3 7 5 
appeal 4 1 
appealed 4 1 
appeals 4 1 
appear 3 1 
